,Date,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,activity,shark_species
5226,2020-12-09,Unprovoked,Australia,Western Australia,Cable Beach,Surfing,M,Unknown,"No injury, Board bitten",N,,Unknown,surfing,
5227,2020-09-07,Unprovoked,Australia,Queensland,"Greenmount Beach, Coolangatta",Surfing,M,46,FATAL,Y,17:00:00,"White shark, m",surfing,white shark
5228,2020-07-31,Unprovoked,USA,Alabama,"Orange Beach, Baldwin County",Swimming,M,14,Lacerations to foot and toes,N,,Blacktip or Spinner shark,swimming,spinner shark
5229,2020-06-10,Unprovoked,New Caledonia,South Province,"Plateau de Ricaudy, NoumÃ©a",Windsurfing,M,30,FATAL,Y,,Tiger shark,surfing,tiger shark
5230,2019-12-28,Unprovoked,Seychelles,Praslin,AmitiÃ© Beach,Swimming,F,45,Arm bitten,N,19:00:00,Unknown,swimming,
5231,2019-05-25,Unprovoked,USA,Hawaii,"Honokowai Point, Maui",Swimming,M,65,FATAL,Y,,Unknown,swimming,
5232,2019-04-27,Unprovoked,Australia,New South Wales,Tomaree,Spearfishing,M,18,3 puncture marks to left forearm,N,,"Grey nurse shark,  female",fishing,grey nurse shark
5233,2019-03-25,Unprovoked,Australia,Queensland,Line Reef,Swimming,M,25,Puncture marks to left hip and buttocks,N,12:30:00,"Grey reef shark, '",swimming,grey reef shark
5234,2018-07-29,Unprovoked,USA,Florida,"St Augustine, St Johns County",Surfing,M,14,Minor cuts to hand,N,,Unknown,surfing,
5235,2018-07-13,Unprovoked,USA,Florida,"Fernandina Beach, Nassau County",Surfing,M,30,Lacerations to left foot,N,,Unknown,surfing,
5236,2017-12-09,Unprovoked,Bahamas,Unknown,Unknown,Snorkeling,F,25,Minor injury to arm,N,Unknown:00,Nurse shark. ',snorkelling,nurse shark
5237,2017-11-24,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Spearfishing,M,25,Right leg bitten,N,,"White shark, ",fishing,white shark
5238,2017-10-09,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Lacerations to left hand,N,,"Tiger shark,    feet",surfing,tiger shark
5239,2017-07-07,Provoked,Mexico,Tabasco,"SÃ¡nchez Magallanes, CÃ¡rdenas",Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,N,Unknown:00,"Tiger shark, g",fishing,tiger shark
5240,2017-05-28,Unprovoked,USA,Florida,Off Jupiter,Feeding sharks,M,Unknown,Lacerations to right arm,N,,Tiger shark,feeding,tiger shark
5241,2017-04-29,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,F,33,Left foot bitten,N,,Unknown,surfing,
5242,2017-03-27,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,58,Minor injury to left foot,N,10:00:00,Unknown,surfing,
5243,2017-01-22,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Unknown,M,Teen,Puncture wounds to lower arm or hand,N,,Unknown,other,
5244,2016-09-15,Watercraft,Australia,Western Australia,Bunbury,Fishing,Unknown,Unknown,Shark rammed boat. No injury to occupant,N,,Unknown,fishing,
5245,2016-09-01,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,M,22,Two toes broken & lacerated,N,Unknown:00,"White shark,  '",fishing,white shark
5246,2016-04-09,Unprovoked,New Caledonia,Grand Terre,Poe Beach,Walking,F,69,FATAL,Y,,"Tiger shark, ",other,tiger shark
5247,2016-03-28,Unprovoked,Australia,New South Wales,North Cronulla Beach,Surfing,M,41,"No injury, board dented",N,,Unknown,surfing,
5248,2016-01-29,Watercraft,South Africa,KwaZulu-Natal,Unknown,Fishing,M,Unknown,"No injury, shark capsized kayak",N,Unknown:00,Unknown,fishing,
5249,2015-12-19,Unprovoked,Aruba,Unknown,Boat capsized,Sea disaster,M,58,FATAL,Y,,Unknown,sea accident,
5250,2015-10-05,Unprovoked,USA,Texas,Galveston,Wading,M,13,Foot & hands bitten,N,, shark,other,
5251,2015-08-10,Provoked,USA,California,Cortes Bank,Spearfishing,M,57,Right hand bitten  PROVOKED INCIDENT,N,08:00:00,Hammerhead shark.  ',fishing,hammerhead shark
5252,2015-06-17,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,10,Minor injury to calf,N,,Unknown,swimming,
5253,2015-03-11,Watercraft,Australia,New South Wales,"Julian Rocks, Byron Bay",Fishing,M,Unknown,Bruised in falling overboard as shark bumped boat,N,,Unknown,fishing,
5254,2014-08-06,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Boogie boarding,M,10,Lacerations to right leg & foot,N,14:00:00,tp shark,boogie boarding,
5255,2014-07-05,Provoked,USA,California,"Manhattan Beach, Los Angeles County",Swimming,M,Unknown,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,N,,"White shark, '",swimming,white shark
5256,2013-12-05,Unprovoked,Australia,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,26,"Puncture wounds to hand, laceration to leg",N,,"Wobbegong shark, o .m",surfing,wobbegong shark
5257,2013-09-21,Unprovoked,USA,Florida,"Carlin Park, Jupiter, Palm Beach County",Surfing,M,Unknown,Lacerations to left foream,N,Unknown:00,Unknown,surfing,
5258,2013-04-10,Unprovoked,French Polynesia,Tuamotus,"North Pass, Fakarava",Kite boarding,M,53,"Underside of board, fins and, harness were damaged, and left  hip, thigh and buttock sustained puncture wounds",N,,Possibly blacktip reef shark,kite surfing,blacktip reef shark
5259,2012-10-23,Unprovoked,USA,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,M,39,FATAL,Y,,"White shark,  '",surfing,white shark
5260,2012-05-06,Unprovoked,USA,California,Off Catalina Island,Paddle boarding,F,15,"No injury, shark bit paddleboard",N,07:20:00,White shark,paddle surfing,white shark
5261,2012-03-06,Provoked,Australia,Victoria,"Shipwreck Cove, Melbourne Aquarium","Diving, feeding sharks",F,34,Superficial lacerations to right side of face PROVOKED ACCIDENT,N,,"Tawny nurse shark, cm",diving,nurse shark
5262,2012-03-05,Unprovoked,Reunion,Saint-Benoit,Port de laÂ Marine,Body boarding,M,31,"No injury, board bitten",N,,Unknown,body boarding,
5263,2012-02-26,Provoked,USA,Florida,"Palm Beach Inlet, Palm Beach County",Kite Surfing,M,Unknown,Laceration to right foot when he struck a shark PROVOKED INCIDENT,N,14:00:00,Spinner shark,kite surfing,spinner shark
5264,2012-01-18,Unprovoked,Australia,New South Wales,Redhead Beach,Surfing,M,44,Lacerations to thigh,N,,"White shark, ",surfing,white shark
5265,2011-08-17,Invalid,USA,North Carolina,"Wrightsville Beach, New Hanover County",Unknown,M,12,Abrasions to left hand,Unknown,,Shark involvement not confirmed,other,
5266,2011-06-14,Watercraft,United Kingdom,Cornwall,St. Ives,Fishing,Unknown,Unknown,"No injury, shark slammed into boat",N,Unknown:00,"Oceanic whitetip shark, '",fishing,oceanic whitetip shark
5267,2011-05-07,Invalid,United Arab Emirates,Umm al Qaywayan Province,Khor Fakkan,Fishing,M,43,"Erroneously reported on several internet sites as a shark attack, it was the shark 8', 300-kg mako shark that was attacked, not the fisherman",Unknown,,Invalid,fishing,
5268,2011-05-04,Unprovoked,South Africa,KwaZulu-Natal,Palm Beach,Spearfishing,M,37,Calf bitten,N,,Unknown,fishing,
5269,2011-01-26,Unprovoked,Bahamas,West End,Tiger Beach,Scuba diving,M,55,Arm bitten,N,15:00:00,Caribbean reef shark,diving,caribbean reef shark
5270,2010-10-25,Provoked,Portugal,Unknown,350 miles from Faial Island,Fishing,M,Unknown,PROVOKED INCIDENT?,N,,Unknown,fishing,
5271,2010-09-06,Unprovoked,Tonga,Ha'api,Unknown,Swimming /  Whale Watching,M,24,Puncture wounds to right foot,N,,Unknown,swimming,
5272,2010-07-25,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Standing,M,16,Lacerations to right lower leg,N,Unknown:00,shark,bathing,
5273,2010-07-17,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,55,Minor lacerations to right foot,N,,small spinner shark,surfing,spinner shark
5274,2010-07-04,Unprovoked,South Africa,KwaZulu-Natal,"Two Mile Reef, Sodwana Bay",Snorkeling,F,21,Left leg bitten,N,,Unknown,snorkelling,
5275,2009-12-13,Unprovoked,Australia,New South Wales,Coffee Head,Surfing,M,39,Laceration to big toe,N,07:00:00,Unknown,surfing,
5276,2009-11-25,Invalid,USA,California,"Huntington Beach, Orange County",Surfing,M,49,Puncture wounds to right foot,Unknown,,Shark involvement not confirmed,surfing,
5277,2009-08-01,Unprovoked,USA,Louisiana,"Curlew Island, Breton Sound",Wade Fishing,M,56,Right ankle & foot bitten,N,,Bull shark?,fishing,bull shark
5278,2009-06-27,Unprovoked,Australia,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,52,2-inch laceration to upper left arm,N,08:45:00,"Thought  involve Bronze whale shark, m",surfing,
5279,2009-06-21,Invalid,USA,California,"Shell Beach, San Luis Obispo County",Surfing,M,26,Puncture wounds to foot,Unknown,,Shark involvement not confirmed,surfing,
5280,2009-03-06,Provoked,Bahamas,Exuma Islands,Unknown,Spearfishing,M,48,Lacerations to right forearm after he poked the shark with his spear PROVOKED INCIDENT,N,,shark,fishing,
5281,2009-01-06,Unprovoked,New Zealand,North Island,Haumoana,Swimming,M,49,Posterior thigh bitten,N,17:30:00,Broadnose sevengill shark,swimming,
5282,2008-10-08,Unprovoked,USA,Florida,"Santa Rosa Beach, Walton County",Fishing,M,11,Lacerations,N,,Unknown,fishing,
5283,2008-05-01,Provoked,South Africa,Unknown,Unknown,Fishing,M,24,Leg bitten by shark taken aboard Japanese trawler PROVOKED INCIDENT,N,,Unknown,fishing,
5284,2008-04-17,Invalid,Australia,Queensland,"Duranbah, Greenmount Beach",Surfing,M,19,2 puncture wounds to leg,Unknown,11:00:00,Shark involvement not confirmed; thought  be barracudbite,surfing,
5285,2008-03-28,Unprovoked,USA,Florida,"Near Cocoa Beach, Brevard  County",Boogie Boarding,M,Unknown,Right foot bitten,N,,small shark,boogie boarding,
5286,2007-11-03,Unprovoked,South Africa,Eastern Cape Province,Bonza Bay,Surfing,M,37,Lacerations to thigh,N,,"White shark,  m",surfing,white shark
5287,2007-10-07,Unprovoked,USA,California,"Venice Pier, Venice, Los Angeles County",Surfing,M,22,4 scratches on left hand,N,20:30:00, shark,surfing,
5288,2007-07-18,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow  County",Swimming,M,14,Right calf bitten,N,, shark,swimming,
5289,2007-07-04,Unprovoked,Reunion,Unknown,Boucan Canot,Body boarding,M,17,Minor injuries to thigh & knee,N,, shark,body boarding,
5290,2007-04-26,Unprovoked,Australia,Queensland,"Mornington Island, Gulf of Carpentaria",Swimming / jumping off a jetty,F,13,Lower leg & foot injured,N,18:00:00,small shark,swimming,
5291,2007-01-25,Watercraft,USA,Florida,100 miles off Ft. Myers Beach,Shrimping,Unknown,Unknown,"A large shark rammed boat, breaking prop shaft. No injury to occupants but boat sank several hours later",N,,shark,other,
5292,2006-12-06,Provoked,South Africa,KwaZulu-Natal,Cape Vidal,Fishing,M,25,"Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT",N,,"Raggedoth shark, ",fishing,raggedoth shark
5293,2006-10-01,Unprovoked,Bahamas,New Providence Island,Nassau,Free diving / modeling,F,26,Puncture wounds to left foot,N,Unknown:00,Unknown,diving,
5294,2006-07-12,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,F,21,Ankle & foot bitten,N,,Unknown,swimming,
5295,2006-04-09,Unprovoked,Brazil,Pernambuco,Piedade,Swimming,M,35,Left leg bitten,N,,Tiger shark,swimming,tiger shark
5296,2006-02-01,Watercraft,USA,Hawaii,"Off Pu'u Ola'l, Makena, Maui",Kayaking,M,57,No injury to occupant; shark bumped the kayak repeatedly for 15 minutes,N,Unknown:00, shark,kayaking/canoeing,
5297,2006-01-11,Invalid,Bahamas,Grand Bahama Island,Sandy Cay,Diving for lobsters,M,Unknown,"No injury, divers felt threatened by 10' pregnant female tiger shark & killed the shark",Unknown,,Invalid,diving,
5298,2006-01-01,Unprovoked,South Africa,Western Cape Province,Soetwater,Diving for crayfish,M,49,Lacerations to little finger,N,,Said  involve  shark,diving,
5299,2005-08-06,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,14,Puncture wounds on left foot,N,09:45:00,Unknown,swimming,
5300,2005-03-25,Unprovoked,Venezuela,Unknown,Punta Caracas,Surfing,M,Unknown,Right leg bitten,N,,Unknown,surfing,
5301,2004-11-11,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,Unknown,38,"Lacerations to hand, knee & thigh",N,,  white shark,surfing,white shark
5302,2004-07-02,Unprovoked,Egypt,Sinai Peninsula,The lagoon at Dahab,Snorkeling,F,Teen,Hand severed,N,Unknown:00,black tipped shark,snorkelling,
5303,2003-06-24,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Standing,F,12,2 lacerations to the thigh,N,,â€œsmall brown sharkâ€,bathing,
5304,2003-04-19,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Jumping,M,11,Left foot bitten,N,,â€œsmallâ€ shark,other,
5305,2002-09-29,Unprovoked,USA,Florida,"Sebastian Inlet, Brevard County",Surfing,M,32,Left hand bitten,N,07:30:00,Unknown,surfing,
5306,2002-09-16,Unprovoked,USA,Hawaii,"Hideaways Beach, Princeville, Kaua'i",Body boarding,Unknown,Unknown,"No injury, shark fin seen just before board ripped away & dragged out to sea",N,,Unknown,body boarding,
5307,2002-05-13,Unprovoked,USA,Florida,"Ten Thousand Islands National Wildlife Refuge, Collier County",Fishing,M,31,Laceration to arm.,N,,    shark,fishing,
5308,2002-03-19,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming /  boogie boarding,M,20,Punctures on left foot and foot,N,15:45:00,shark,swimming,
5309,2002-01-03,Unprovoked,Brazil,Pernambuco,Candeias,Swimming,Unknown,Unknown,FATAL,Y,,Unknown,swimming,
5310,2001-04-13,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,12,Right foot & ankle lacerated,N,,Possibly juvenile blacktip or spinner shark,surfing,spinner shark
5311,2000-08-13,Unprovoked,USA,Florida,"South Jacksonville Beach, Duval County",Surfing / Wading,M,27,Minor lacerations to the dorsum of the right foot,N,16:30:00,juvenile shark,surfing,
5312,2000-07-02,Unprovoked,USA,Florida,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County",Wading,F,13,Left calf & hand lacerated,N,,  shark,other,
5313,2000-03-01,Unprovoked,USA,Louisiana,Midnight Lump (38 miles offshore),Spearfishing,M,39,"No injury to diver, speargun damaged",N,,"Shortfin mako shark,    ",fishing,mako shark
5314,1998-08-01,Unprovoked,South Africa,Western Cape Province,Pringle Bay,Spearfishing,M,24,Leg bitten,N,13:00:00,"White shark,  ",fishing,white shark
5315,1998-04-01,Unprovoked,Brazil,Pernambuco,"Boa Viagem, Recife",Swimming,M,Unknown,FATAL,Y,,Unknown,swimming,
5316,1997-06-07,Unprovoked,Brazil,Rio de Janeiro,"Copacabana, Rio de Janeiro",Bathing,M,Unknown,Unknown,Unknown,,Unknown,bathing,
5317,1995-05-31,Unprovoked,Hong Kong,New Territories,Sai Kung Beach,Diving,Unknown,44,"FATAL, right leg severed, left leg lacerated",Y,Unknown:00,Unknown,diving,
5318,1995-04-16,Invalid,USA,Florida,"New Smyrna Beach, Volusia County",Unknown,M,12,"Dorsum of right hand bitten, a probable bluefish bite",Unknown,,Invalid,other,
5319,1994-09-26,Unprovoked,USA,South Carolina,"North Forest Beach, near Hilton Head, Beaufort County",Swimming,F,30,Right side of abdomen & left hand bitten,N,,Unknown,swimming,
5320,1994-07-09,Unprovoked,Reunion,Saint-Denis,Barachois,Windsurfing,M,24,FATAL,Y,13:45:00,    bull shark,surfing,bull shark
5321,1994-07-08,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Right calf lacerated,N,,small shark,surfing,
5322,1994-01-12,Watercraft,Australia,Western Australia,Albany,Fishing,Unknown,Unknown,"No injury to occupants, shark bit anchor and ladder",N,,White shark,fishing,white shark
5323,1993-08-12,Unprovoked,USA,California,"Abalone Point, Westport Union Landing, Mendocino County",Free diving for abalone (ascending),M,39,Severe bites to head & shoulder,N,14:00:00,     white shark,diving,white shark
5324,1993-06-01,Unprovoked,USA,North Carolina,"Hamstead, Pender County",Swimming,F,60's,"No injury, bumped by shark",N,,shark,swimming,
5325,1993-01-01,Unprovoked,Tonga,Vavaâ€™u,Between Ofu & Fafini Islands,Spearfishing,Unknown,30,Left buttock and thigh bitten,N,,Unknown,fishing,
5326,1992-11-29,Unprovoked,USA,California,"San Onofre, San Diego County",Spearfishing / free diving,M,31,10 puncture wounds to right calf,N,15:30:00,"Mako shark,  ",diving,mako shark
5327,1992-08-01,Invalid,USA,Florida,St. Lucie County,Fisherman,M,Unknown,No details,Unknown,,Questionable incident,other,
5328,1992-06-28,Unprovoked,Brazil,Pernambuco,Piedade,Swimming,M,Unknown,FATAL,Y,,Unknown,swimming,
5329,1991-03-03,Unprovoked,Australia,New South Wales,Bass Point,Scuba diving,M,18,Lacerations to arm & leg,N,Unknown:00,"Grey nurse shark,  m",diving,grey nurse shark
5330,1990-04-08,Unprovoked,Australia,Queensland,"Dingo Reef, 80 nm off Townsville",Free diving for trochus,M,37,Presumed FATAL,Y,,Unknown,diving,
5331,1989-08-06,Provoked,Australia,Queensland,Moreton Bay,Fishing for sharks,M,41,Laceration to arm  PROVOKED INCIDENT,N,, white shark,fishing,white shark
5332,1989-06-01,Invalid,Japan,Sea of Japan,Unknown,Unknown,M,Unknown,"Doubtful incident, needs investigation",Unknown,Unknown:00,Unknown,other,
5333,1988-04-28,Unprovoked,Reunion,Saint-Louis,Embouchure de l'Ã©tang du Gol,pÃªcheur de bichiques,M,Unknown,FATAL,Y,,Unknown,other,
5334,1987-07-12,Unprovoked,USA,Texas,"Mustang Island, near Port Aransas",Body surfing,F,32,Left foot bitten,N,,shark,surfing,
5335,1986-12-06,Unprovoked,Bahamas,Florida Straits,Off Cay Sal  Banks,Adrift after ditching plane in the sea,M,37,"No injury, bumped  by sharks",N,Unknown:00,Unknown,sea accident,
5336,1986-12-01,Unprovoked,New Caledonia,Unknown,I'le Ouen,Spearfishing,Unknown,Unknown,Right leg bitten,N,,Tiger shark,fishing,tiger shark
5337,1986-09-01,Unprovoked,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County",Surfing,Unknown,Unknown,Survived,N,,Unknown,surfing,
5338,1986-02-01,Unprovoked,Australia,Victoria,Jan Juc Beach,Surfing,M,29,"No injury, knocked into water & board bitten",N,06:00:00,"Bronze whaler shark, ",surfing,bronze whaler
5339,1985-10-18,Unprovoked,USA,Hawaii,"Little Glass Shacks, Princeville, Kaua'i",Body boarding,M,33,"Right hand and part of forearm severed , left hand lacerated, right anterior side of board removed by shark",N,,"Thought  involve Tiger shark,   ",body boarding,tiger shark
5340,1985-03-03,Unprovoked,Australia,South Australia,"Wisemanâ€™s Beach, Peake Bay, Port Lincoln",Free diving for scallops,F,33,FATAL,Y,,  white shark,diving,white shark
5341,1984-02-18,Provoked,South Africa,Eastern Cape Province,"Paradise Beach, Jeffreyâ€™s Bay",Fishing,M,Unknown,Leg lacerated by hooked shark PROVOKED INCIDENT,N,21:00:00,"Raggedoth shark, ",fishing,raggedoth shark
5342,1983-12-07,Invalid,South Africa,KwaZulu-Natal,LaMercy,Unknown,M,Unknown,"Two feet found in 1.74 m, 115-kg Zambesi shark, confirmed as a postmortem scavenging",Unknown,,Invalid,other,
5343,1983-11-21,Sea Disaster,Philippines,Central Philippines,Unknown,Ferry boat sank,M,Unknown,Left foot nipped,N,,. shark,other,
5344,1983-08-20,Unprovoked,USA,Oregon,"Cape Kiwanda,Tillamook County",Surfing,M,Unknown,"No injury, board bitten",N,10:00:00,White shark,surfing,white shark
5345,1983-07-25,Sea Disaster,Australia,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming from the New Venture,M,24,"FATAL, shark bit leg, then dragged him underwater",Y,,"Tiger shark,  ",swimming,tiger shark
5346,1981-10-01,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,24,Laceration to right leg,N,,shark,surfing,
5347,1981-07-01,Unprovoked,South Africa,KwaZulu-Natal,Clansthal,Catching sardines,M,Unknown,Laceration to calf,N,Unknown:00,gray shark,other,
5348,1981-01-01,Invalid,South Africa,KwaZulu-Natal,Widenham,Swimming,M,23,Probable drowning & scavenging by 1.5 m tiger shark,Unknown,,Shark involvement prior  death was not confirmed,swimming,
5349,1977-03-13,Sea Disaster,Australia,Queensland,Near Moreton Island in Moreton Bay,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",M,45,FATAL,Y,,Unknown,other,
5350,1976-11-25,Unprovoked,USA,Florida,"Delray Beach, Palm Beach County",Surfing,M,19,Right arm severed 1 below elbow with extensive tissue loss 3 above elbow,N,10:55:00,  lemon shark or bull shark,surfing,lemon shark
5351,1975-08-17,Unprovoked,South Africa,Eastern Cape Province,Cape St. Francis,Surfing,M,19,Left leg & surfboard bitten,N,,"White shark,  ",surfing,white shark
5352,1975-07-04,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",Surfing,M,16,"Foot bitten, tendons damaged",N,,Unknown,surfing,
5353,1973-01-01,Unprovoked,Palau,Aulong Island,Aulong Channel,Scuba diving (submerged),M,Unknown,"No injury, shark grabbed scuba tank and descended to 110' before releasing him",N,Unknown:00,Tiger shark,diving,tiger shark
5354,1972-10-21,Unprovoked,Australia,New South Wales,Tabourie Beach,Surfing,M,19,Lacerations to thigh & buttocks,N,,"Bronze whaler shark, '",surfing,bronze whaler
5355,1972-05-28,Unprovoked,USA,California,"Bird Rock, near Tomales Point, Marin County",Free diving for abalone,M,32,Bitten on legs & buttock,N,,"White shark,    ",diving,white shark
5356,1971-06-30,Unprovoked,South Africa,Western Cape Province,Mossel Bay,Surfing,M,21,Leg & surfboard bitten,N,15:35:00,"White shark,  , species identity confirmed by witnesses & oth pattern in leg & board",surfing,white shark
5357,1971-06-30,Unprovoked,Iraq,Basrah,Shatt-al-Arab River,"Fishing, trying to catch the end of his fishing line",M,35,Left hand bitten,N,,Unknown,fishing,
5358,1968-12-29,Invalid,South Africa,KwaZulu-Natal,Port St. John's,Freediving,M,Unknown,No injury,Unknown,,Questionable incident,diving,
5359,1968-08-08,Unprovoked,Colombia,Magdalena Department,"Makuaka CaÃ±o, Taganga",Dynamite fishing,M,18,Lacerations to head,N,10:30:00, shark,fishing,
5360,1967-11-04,Sea Disaster,Philippines,Rombion Province,Off Sibuyan Island,Sinking of the M/V Mindoro during a typhoon,Unknown,Unknown,Passengers taken by sharks,Y,,Unknown,other,
5361,1967-07-29,Unprovoked,USA,Florida,Florida Keys,Snorkeling,M,20,Foot lacerated,N,,Unknown,snorkelling,
5362,1967-02-06,Sea Disaster,Mexico,Veracruz,Cabo Rojo,The shrimper Loless Maurine capsized in heavy seas & the men were swimming ashore,M,Unknown,FATAL,Y,14:00:00,Unknown,swimming,
5363,1966-08-01,Unprovoked,USA,Florida,"Municipal Bathing area, Riviera Beach, Palm Beach County",Wading,M,8,"No injury, mother lifted him from the water",N,,Spinner or blacktip sharks,other,blacktip shark
5364,1965-06-01,Unprovoked,Papua New Guinea,Near Bougainville (North Solomons),Huhunoti Island,Spearfishing,M,Unknown,Minor injury,N,,Unknown,fishing,
5365,1965-01-25,Invalid,USA,California,"Newport Beach, Orange County",Motor boat Rebel Belle lost,M,21,"Puncture marks on chest may have been post mortem, 4 other bodies in area were undamaged",Unknown,Unknown:00,Shark involvement prior  death was not confirmed,other,
5366,1964-06-17,Watercraft,Papua New Guinea,New Britain,Near Rabaul,Fishing,M,Unknown,"No injury to occupant, shark lifted canoe's outrigger",N,,  shark,fishing,
5367,1964-03-28,Unprovoked,Australia,South Australia,Surfers Paradise Beach near Victor Harbour,Surfing,M,19,Left thigh lacerated,N,,  shark,surfing,
5368,1963-12-26,Unprovoked,Australia,Queensland,"Figtree Ledge, Hervey Bay",Sitting on gunwale of boat,M,Unknown,"No injury, shark's tail struck his armpit",N,Unknown:00," , ",other,
5369,1963-12-22,Invalid,Atlantic Ocean,Between Southampton & Canary Islands,Unknown,"Greek steamship Lakonia caught fire, 98 of her 646 passengers, and 30 of her crew of 376 perished",F,Unknown,"One woman reported to have suffered fish bites, but cause of her death was exposure & drowning",Unknown,,Invalid,other,
5370,1962-06-04,Provoked,USA,California,"12' tank at Steinhart Aquarium, San Francisco","Scuba diving, attempting to catch a captive shark",M,55,Right forearm bitten PROVOKED INCIDENT,N,,"Sevengill  shark,  ",diving,
5371,1962-02-04,Unprovoked,Australia,Queensland,Greenmount Beach,Swimming,M,35,Shin bitten,N,14:30:00, c shark,swimming,
5372,1961-09-06,Provoked,Italy,Venice Province,Chioggia,Fishing,M,33 & 37,Left foot & right hand bitten by netted shark PROVOKED INCIDENT,N,, shark,fishing,
5373,1961-04-14,Unprovoked,Australia,New South Wales,10 miles off Nambucca Heads  onboard trawler,"Checking fish traps, fell into the water",M,40,Tiny cuts & bruises on neck,N,,gummy shark (Rhizoprionodon or Loxodon)  ,sea accident,
5374,1960-10-01,Unprovoked,Papua New Guinea,New Britain,"East Nakanai, Talasea",Collecting shells,M,26,Injuries to leg & foot,N,Unknown:00,Unknown,fishing,
5375,1960-03-28,Unprovoked,Guam,Unknown,Unknown,"Spearfishing, carrying fish on belt",M,44,Thigh bitten,N,,  shark,fishing,
5376,1959-08-14,Provoked,USA,South Carolina,Charleston,Fishing,M,Unknown,Laceration to forearm by boated shark PROVOKED INCIDENT,N,,.shark,fishing,
5377,1959-08-13,Provoked,USA,California,"LaJolla, San Diego County","Spearfishing with Joe Turner (24). Shark attracted to speared halibut on belt of one diver, tried to bite Ideâ€™s speargun & he shot it in the mouth",M,32,"No injury, PROVOKED INCIDENT",N,Unknown:00,"Hammerhead shark, '",diving,hammerhead shark
5378,1959-08-13,Invalid,Italy,Tuscany,"Cala del Corvo, Isola del Giglio",Scuba diving,M,34 & 19,Probable drowing. Shark involvement unconfirmed,Unknown,,Shark involvement prior  death was not confirmed,diving,
5379,1959-01-12,Unprovoked,Papua New Guinea,Milne Bay Province,"Uga, Banaira, Milne Bay",Dragging banana seeds through the shallows,M,Unknown,Left calf & right thigh bitten,N,,  shark,other,
5380,1956-01-01,Unprovoked,Papua New Guinea,Madang Province,"Singour, 60 miles south of Madang",Diving,M,Unknown,Lower leg & foot lacerated,N,Unknown:00,Unknown,diving,
5381,1955-08-01,Watercraft,Australia,South Australia,Port Augusta,Fishing,Unknown,Unknown,Whelan's head was injured when he fell to the deck as shark rammed boat,N,,Tooth fragments recovered frohull,fishing,
5382,1955-01-01,Unprovoked,Papua New Guinea,New Ireland,Lavongai,Unknown,M,Unknown,Back bitten,N,,Unknown,other,
5383,1953-07-31,Unprovoked,Mexico,Colima,Manzanillo,Wading,F,18,FATAL,Y,Unknown:00,Unknown,other,
5384,1953-03-01,Unprovoked,Australia,New South Wales,"Long Reef, Collaroy",Spearfishing,M,23,Arm lacerated,N,,Unknown,fishing,
5385,1953-02-18,Provoked,USA,Hawaii,"Barberâ€™s Point, O'ahu",Bitten while cutting shark from net,M,Unknown,Hand bitten  PROVOKED INCIDENT,N,,Unknown,other,
5386,1952-01-23,Provoked,Mauritius,Port Louis Province,Port Louis,"Spearfishing, speared a small shark",M,Unknown,Right foot lacerated by a larger shark. Lost several toes  PROVOKED INCIDENT,N,Unknown:00,Unknown,fishing,
